,MAE,MSE,RMSE,RÂ² Score
LSTM Hyperband,3.763675091217975,29.90746226959509,5.468771550320518,0.606972442691054
BiLSTM Dragonfly,3.722878801891281,30.09808541199736,5.486172200359497,0.6044673773214293
GRU Dragonfly,3.8773436016090748,30.793132831539666,5.549156046782219,0.5953334432198283
GRU Hyperband,3.8377380075409797,31.01552062546708,5.56915798173001,0.5924109441246284
LSTM Dragonfly,3.7795571144933415,31.36465898924659,5.600415965733848,0.5878227581714991
BiLSTM Hyperband,4.150521047074155,31.4137842751593,5.604800110187633,0.5871771804574712
GRU Optuna,3.9639313756203163,31.960583068118563,5.653369178473891,0.5799914489500964
LSTM Optuna,4.063699191743201,36.67524676216875,6.056009144822087,0.518033910109045
BiLSTM Optuna,4.584496675767804,36.78902609344731,6.065395790337784,0.5165386841938017
